,M_Poverty,F_Poverty,FIPS,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths
2022,7.479605745396775,7.571734871005583,7621.527367353124,3.4420843870803073,1.8990287701022492,17.179963283775724,123.35302733004609,473.55173865880556,120.25965774842125,7.340176654351302,6.382504773139052,7.506472426367686,5.936937208374786,101.50073120669211,2.806613268115362,48.26650766521725,2.231529028816578
2023,6.903425270048344,7.296372097718805,7621.879869952241,3.4384799335209837,1.8988201710022665,17.179963283775724,126.89746691290863,395.73104717536,115.96043899205996,6.9931564461807465,6.164580116476455,7.147222540106152,5.841100644436992,110.87202865569128,2.4702900950276776,64.90970978034682,2.072230194482529
2024,7.4301709102079645,7.682072790417713,7622.232369320699,3.440173649490554,1.8989849320773782,16.313973924686746,143.20415150284512,395.73104717536,86.19014417933086,7.3360481143604215,6.553882385382498,7.492755505739825,6.475913174655181,131.00994875230103,2.971624519653527,50.79777650907728,2.2576159455883498
2025,8.771390886737773,9.015588496230198,7622.584865458706,3.4380483156023613,1.898760398307998,17.772226011742855,133.3783212061406,497.75058375654584,112.10400855413802,7.951819629984925,7.300025806582681,8.134932427754347,7.233436953890808,128.60904608454516,3.623785836568367,66.3039954783241,2.8687773596712662
2026,10.569104046666736,10.881337729103834,7622.937358366474,3.4676559218255063,1.9007383390367936,19.444319079617454,138.83064096502267,495.00806394306187,130.3639808961624,9.306274238073462,9.129697385544489,9.562550008054096,9.104523691771453,109.78563337540703,4.895976181159109,47.576951663392336,3.6012555510307314
2027,8.601592319915952,8.776498348459015,7623.289848044189,3.4416061222310024,1.8991397832898695,17.201541232464542,144.84805162021752,439.28580089165644,104.23751449508698,7.794349516363533,7.258034040338602,7.971701058202909,7.031734931958608,113.77539560528304,3.391630994285787,56.566709290428726,2.688770613885861
2028,7.554127537394,7.870399327437062,7623.642334492102,3.447831713857888,1.8994545467265893,19.259531777109302,123.35302733004609,395.73104717536,116.52490075302929,7.593793650581134,6.659238005648374,7.767993604386764,6.466419844845621,100.24700368331531,3.08628364215532,50.33721294746335,2.456658543693025
2029,8.923317936972282,9.167607568297663,7623.994817710374,3.443460590630067,1.8994259001199614,16.82666107343329,116.29367776233451,257.8348230055116,96.25480731194651,7.998590215953439,7.003962950891219,8.192523146404334,6.823473544683939,88.16979591555754,3.2189723286429364,46.198885235963054,2.5784902514691486
2030,9.141121157657542,9.31592089821653,7624.3472976992425,3.448999792326423,1.8996065002223699,17.60454037319467,118.56456908712336,376.15122113409444,107.65106174754605,8.258427811728208,7.747165840318136,8.471410249765327,7.655831901218101,113.04869927735697,3.8881611377333023,52.75677810015011,3.0066636113046643
2031,7.98996532785514,8.353808542790544,7624.699774458906,3.4472219266273956,1.8994252910282265,16.86189903467274,128.68263781486314,410.815364544617,114.09023768401737,7.727479086018381,6.926823102234306,7.915537578734166,6.791121751619017,112.5040495598739,3.346078647951157,49.87679587163426,2.601085471493228
